model,split,correct,total,accuracy,p50_latency_ms,p95_latency_ms,avg_tokens_per_second,benchmark_seconds,requests_per_hour,hardware_cost_per_hour,local_cost_per_1000
gemma3:1b,dev,5,10,0.5,972.7,2263.08,109.56,11.58,3109.56,,
phi4-mini,dev,9,10,0.9,2007.63,12065.66,31.76,37.62,956.94,,
llama3.2:3b,dev,4,10,0.4,1230.2,4692.1,57.33,17.01,2116.35,,
gemma3:1b,test,21,50,0.42,898.73,1273.66,108.1,46.96,3833.13,,0.0522
llama3.2:3b,test,32,50,0.64,670.14,1497.22,58.95,42.94,4191.72,0.2,0.0477
phi4-mini,test,50,50,1.0,1642.44,3901.67,31.67,93.93,1916.33,0.2,0.1044
qwen3:8b,test,47,50,0.94,5141.19,12683.48,7.97,299.61,600.79,0.2,0.3329
